what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008799604
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008840961
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1288008842358
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1288008843800
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1288008844593
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'E:\\java\\default project\\src\\test\\.svn' containing working copy admin area is missing\n",1288008847151
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1288008847152
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008848212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008848483
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288008849394
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1288008850278
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288008850916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008852319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008867902
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008868950
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008869753
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288008870126
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009008860
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1288009015285
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288009016463
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288009016530
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009026895
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009038478
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1288009040222
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009045810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009047399
executed,command,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.commit",1288009047463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009047734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009048000
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288009051375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009056355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009082077
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288009088648
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288009150009
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009151492
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009152503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009153355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009167195
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288009167935
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009174138
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009176724
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1288009178207
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288009178893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009179712
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009225469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009226737
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288009231163
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1288009237185
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1288009238786
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1288009239579
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1288009241487
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'E:\\java\\default project\\src\\test\\.svn' containing working copy admin area is missing\n",1288009241491
