what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010772999228
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1010773000754
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.eof",1010773001484
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1010773057603
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773058404
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773071631
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773075377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773447172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773448206
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773639985
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773641978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773642965
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1010773644712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773648236
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1010773648263
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773658186
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1010773741724
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'E:\\java\\default project\\bin\\visitor\\.svn' containing working copy admin area is missing\n",1010773742050
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773751703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773767201
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773779013
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773786375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773815713
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773819691
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1010773839951
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1010773846529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1010773892084
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'E:\\java\\default project\\bin\\visitor\\.svn' containing working copy admin area is missing\n",1010773892463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773897761
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773902779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1010773943182
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'E:\\java\\default project\\bin\\visitor\\.svn' containing working copy admin area is missing\n",1010773943505
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773960075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1010773966533
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1010773983819
