what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000280575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000321428
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000321884
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000422734
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000424538
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000480709
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288000482936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000485612
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000517493
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1288000522366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288000531021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288000533327
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288001514854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288001515539
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002148491
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288002151506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002161886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002167097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002317136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002514725
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1288002520268
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002566959
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002629534
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288002635573
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002696251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002795886
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002844910
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002845088
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1288002851475
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002866003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002884741
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002885939
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002900235
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002900889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003058844
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003075505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003253482
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003321281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003518575
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003526200
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003597202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003598231
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003599225
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003611717
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003722111
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1288003736115
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'E:\\java\\default project\\src\\test\\.svn' containing working copy admin area is missing\n",1288003736119
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288003742076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1288003745743
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288003746338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003747393
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003780150
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1288003804666
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1288003814463
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'E:\\java\\default project\\src\\test\\.svn' containing working copy admin area is missing\n",1288003814466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003815721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003815919
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288003818740
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1288003820929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288003821620
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003822849
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004011024
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1288004017253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004119062
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004161330
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004264024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004284390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004287166
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004294663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004320442
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004328853
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004329962
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004336771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004338626
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004343835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004348313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004404591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004434967
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004436075
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1288004451091
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288004452593
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288004452672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1288004472099
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004514577
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004536791
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1288004539108
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004543254
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004580462
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004581810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004649940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004668378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004710394
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004714766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004754172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004764753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004768572
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004769393
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004774354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004776777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004858019
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004889765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004902088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004911515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004933084
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004938577
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004987360
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005006074
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005080399
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005115840
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005132511
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005133686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005264574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005272490
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005273196
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005273777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005490558
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005510931
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005514413
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005520545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005563848
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005570237
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005631763
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005638215
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005694381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005722375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005765147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005768530
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005881915
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005885760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005898433
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288005944946
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006006408
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006007116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006007974
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006008684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006033227
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006039920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006046602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006053040
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006073944
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006080733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006083798
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006101131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006102923
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006103738
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006166861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006173108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006197269
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006208505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006238377
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006242638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006245816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006249733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006277237
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006278547
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006284173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006289266
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006327544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006343748
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006363886
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006365274
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006367108
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006369298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006420608
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288006427852
